prop_id,full_address,bedrooms,bathrooms,parking_spaces,latitude,longitude,floor_number,land_area,floor_area,price,property_features
P10001,3 Antrim Place Langwarrin VIC 3910,4,2,2,-38.16655678,145.1838435,,608,257,870000,dishwasher;central heating
P10002,G01/7 Rugby Road Hughesdale VIC 3166,2,1,1,-37.89342337,145.0862616,1,,125,645000,dishwasher;air conditioning;balcony
P10003,18 Blantyre Avenue Chelsea VIC 3196,3,2,2,-38.0518997,145.1183469,,546,259,1185000,air conditioning;spa;storage cage
P10004,3/69 Woodbine Grove Chelsea VIC 3196,3,2,2,-38.05178396,145.1258001,1,,240,754000,floorboards;air conditioning; central heating
P10005,3/39 Carlisle Road Hallam VIC 3803,3,1,1,-38.0014455,145.254438,3,,112,552000,dishwasher;air conditioning; communal pool
P10006,1 Basil Close Hallam VIC 3803,3,1,2,-38.00911741,145.282743,,651,144,637000,covered patio; outdoor shed
P10007,6 Blanford Court Mulgrave VIC 3170,3,2,2,-37.92389154,145.1920065,,324,199,1188000,central heating;solar; covered yard
P10008,4/523-525 Police Road Mulgrave VIC 3170,3,2,1,-37.93822098,145.2109744,2,,304,730000,fireplace;air conditioning;roller garage
P10009,28 Oakpark Drive Chadstone VIC 3148,5,3,2,-37.89020346,145.1013983,,552,262,1476000,openplan living;double garage
P10010,FL-L5-507/8 Gheringhap Street Geelong VIC 3220,2,1,1,-38.14346765,144.3592767,5,,112,498000,
P10011,282 Drummond Street Carlton VIC 3053,3,1,0,-37.79925869,144.9688795,,81,203,1285000,fireplace;air conditioning;double-storey
P10012,131 Canning Street Carlton VIC 3053,3,1,1,-37.79550084,144.9729991,,98,151,1633000,fireplace;air conditioning;carport;double-storey
P10013,612/22 Orr Street Carlton VIC 3053,1,1,0,-37.80602561,144.965354,6,,47,140000,communal laundry;communal kitchen
P10014,403/518 Swanston Street Carlton VIC 3053,1,1,0,-37.80459225,144.9634754,4,,55,406000,
P10015,114-118 Cardigan Street Carlton VIC 3053,2,2,4,-37.80379941,144.9650549,,412,399,1900000,double-storey;central heating; air conditioning
P10016,62 Elgin Street Carlton VIC 3053,3,1,2,-37.79732384,144.972527,,141,160,1285000,fireplace;air conditioning
P10017,812/145 Queensberry Street Carlton VIC 3053,1,1,2,-37.80474653,144.963873,8,,60,500000,balcony;central heating;central cooling
P10018,25/25 Barkly Street Carlton VIC 3053,1,1,0,-37.79836543,144.9744793,2,,44,389500,balcony;air conditioning
P10019,23/355 Rathdowne Street Carlton VIC 3053,1,1,1,-37.79801999,144.9701568,2,,99,555000,balcony

